dateoftest,elapsed,label
[26/Jul/2013:14:10:02,158784,/app.php/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:10:03,218597,/app.php/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:10:08,211553,/logout,302
[26/Jul/2013:14:10:08,159135,/,302
[26/Jul/2013:14:10:08,870167,/rumba/login?ticket=ST-3614-FCJN6eScmm0u2RmBio9H-pearson-intl.com,302
[26/Jul/2013:14:10:09,1489681,/app.php/assignments/course/389/activity/425/create?disableCourseSettingsPartOfForm=1,302
[26/Jul/2013:14:10:11,442008,/settings/,200
[26/Jul/2013:14:10:12,210557,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:10:10,1706594,/app.php/assignments/course/390/activity/425/create?disableCourseSettingsPartOfForm=1,302
[26/Jul/2013:14:10:12,648811,/app.php/courses/content/390,200
[26/Jul/2013:14:10:13,437803,/courses/,200
[26/Jul/2013:14:10:13,330875,/courses/user_course/new?_=1373891275488,200
[26/Jul/2013:14:10:13,536373,/courses/content/388,200
[26/Jul/2013:14:10:14,161235,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:10:13,458080,/courses/content,302
[26/Jul/2013:14:10:14,160758,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:10:15,367567,/logout_user,302
[26/Jul/2013:14:10:16,210893,/rumba/login,405
[26/Jul/2013:14:10:15,700645,/app.php/products/courses/388/units/149.json?_=1371737566272,200
[26/Jul/2013:14:10:17,204081,/rumba/login,302
[26/Jul/2013:14:10:17,460925,/,302
[26/Jul/2013:14:10:17,334721,/rumba/login,302
[26/Jul/2013:14:10:17,1079608,/,302
[26/Jul/2013:14:10:17,855365,/,302
[26/Jul/2013:14:10:16,1600338,/logout_user,302
[26/Jul/2013:14:10:17,887374,/,302
[26/Jul/2013:14:10:17,970819,/rumba/login,302
[26/Jul/2013:14:10:17,1183655,/rumba/login,302
[26/Jul/2013:14:10:17,1322957,/rumba/login,302
[26/Jul/2013:14:10:18,892464,/,302
[26/Jul/2013:14:10:17,1580113,/rumba/login,302
[26/Jul/2013:14:10:18,601198,/rumba/login,302
[26/Jul/2013:14:10:17,1960260,/,302
[26/Jul/2013:14:10:17,1827458,/,302
[26/Jul/2013:14:10:18,1089396,/logout,302
[26/Jul/2013:14:10:18,1365491,/rumba/login,302
[26/Jul/2013:14:10:17,2404977,/,302
[26/Jul/2013:14:10:17,1836480,/rumba/login,302
